lambda_1, lambda_2, entropy
0.25, 0.50, 11.022350252989966
0.25, 0.55, 11.01429048987919
0.25, 0.60, 11.006876661071992
0.25, 0.65, 11.000269460114206
0.25, 0.70, 10.994658895917587
0.25, 0.75, 10.99028698948305
0.25, 0.80, 10.987489341138524
0.25, 0.85, 10.986784173538474
0.25, 0.90, 10.989109736865204
0.25, 0.95, 10.9967665927706
0.30, 0.05, 10.994903598275819
0.30, 0.10, 10.990498719541746
0.30, 0.15, 10.984668465705695
0.30, 0.20, 10.9779625183654
0.30, 0.25, 10.970720374409114
0.30, 0.30, 10.963179526171114
0.30, 0.35, 10.955521065268634
0.30, 0.40, 10.947892993916694
0.30, 0.45, 10.94042403321875
0.30, 0.50, 10.933233051805269
0.30, 0.55, 10.926436627191634
0.30, 0.60, 10.920156340031719
0.30, 0.65, 10.914527287562526
0.30, 0.70, 10.909709880199214
0.30, 0.75, 10.90590876277468
0.30, 0.80, 10.903407590964923
0.30, 0.85, 10.90264360084821
0.30, 0.90, 10.904406368956247
0.30, 0.95, 10.910626010020058
0.35, 0.05, 10.908726203534938
0.35, 0.10, 10.904807340266371
0.35, 0.15, 10.899742503014425
0.35, 0.20, 10.893966420066644
0.35, 0.25, 10.887750162990136
0.35, 0.30, 10.881285184218326
0.35, 0.35, 10.874718952086965
0.35, 0.40, 10.868173273647287
0.35, 0.45, 10.86175523342843
0.35, 0.50, 10.855564750308957
0.35, 0.55, 10.849700736495944
0.35, 0.60, 10.844267149117545
0.35, 0.65, 10.839380168103942
0.35, 0.70, 10.83517825142994
0.35, 0.75, 10.831838358840496
0.35, 0.80, 10.829605846218664
0.35, 0.85, 10.828858611118322
0.35, 0.90, 10.830278031432039
0.35, 0.95, 10.835526395956313
0.40, 0.05, 10.833643443691345
0.40, 0.10, 10.830106015634943
0.40, 0.15, 10.825620824601021
0.40, 0.20, 10.820543267127416
0.40, 0.25, 10.815096755141019
0.40, 0.30, 10.809440342466514
0.40, 0.35, 10.803697558643707
0.40, 0.40, 10.797971316395312
0.40, 0.45, 10.792352875780221
0.40, 0.50, 10.786928101830053
0.40, 0.55, 10.781782636318484
0.40, 0.60, 10.777007057716535
0.40, 0.65, 10.772703081417633
0.40, 0.70, 10.768992320125495
0.40, 0.75, 10.766030482932653
0.40, 0.80, 10.76403358992099
0.40, 0.85, 10.763334251493411
0.40, 0.90, 10.764531619957785
0.40, 0.95, 10.769085354314084
0.45, 0.05, 10.767246654600804
0.45, 0.10, 10.764020473507736
0.45, 0.15, 10.759993675101095
0.45, 0.20, 10.755464019578168
0.45, 0.25, 10.75062002870074
0.45, 0.30, 10.745596844346833
0.45, 0.35, 10.740500167038757
0.45, 0.40, 10.735418696409166
0.45, 0.45, 10.730431662136322
0.45, 0.50, 10.725614131221025
0.45, 0.55, 10.721041448909899
0.45, 0.60, 10.71679372815709
0.45, 0.65, 10.71296130301046
0.45, 0.70, 10.709652487982341
0.45, 0.75, 10.707006201067948
0.45, 0.80, 10.705215305045574
0.45, 0.85, 10.704576739533435
0.45, 0.90, 10.705625076637473
0.45, 0.95, 10.709661334584375
0.50, 0.05, 10.707881737528242
0.50, 0.10, 10.704917505158514
0.50, 0.15, 10.701265701562434
0.50, 0.20, 10.697180570679945
0.50, 0.25, 10.692824119093983
0.50, 0.30, 10.688313192972194
0.50, 0.35, 10.683739750072164
0.50, 0.40, 10.67918144597483
0.50, 0.45, 10.674708082839077
0.50, 0.50, 10.670386194002775
0.50, 0.55, 10.66628292326456
0.50, 0.60, 10.662469992212428
0.50, 0.65, 10.659028564494976
0.50, 0.70, 10.656056208045824
0.50, 0.75, 10.653678256237741
0.50, 0.80, 10.652068843259945
0.50, 0.85, 10.651496099738027
0.50, 0.90, 10.652442545419303
0.50, 0.95, 10.656081633960694
0.55, 0.05, 10.65436980555543
0.55, 0.10, 10.651631925038863
0.55, 0.15, 10.648295682151351
0.55, 0.20, 10.644581467849946
0.55, 0.25, 10.640630542273563
0.55, 0.30, 10.636545352650874
0.55, 0.35, 10.632406973150312
0.55, 0.40, 10.628284253966777
0.55, 0.45, 10.624239427659898
0.55, 0.50, 10.620332127507822
0.55, 0.55, 10.616622822555328
0.55, 0.60, 10.61317636718762
0.55, 0.65, 10.610066388887052
